cache_mb,capacity_gb,category,form_factor,interface,lighting,manufacturer,name,opendb_id,part_id,release_year,series,storage_type,variant
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Exos X18 12TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",039f2edb-e172-4eed-9c60-7b1a8d48d640,hdd_0011,,Exos,HDD,12000GB
,10000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red 10TB HDD 3.5"" SATA",0494bd56-61ad-4224-919d-3a1b4ea08316,hdd_0012,,Red,HDD,10000GB
,1000,hdd,"2.5""",SAS 6.0 Gb/s,,Seagate,"Seagate Constellation.2 1TB HDD 7200RPM 2.5"" SAS",0509b6b9-813f-4101-88e2-e3048f05d57e,hdd_0013,,Constellation.2,HDD,1000GB
,3000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Purple 3TB HDD 3.5"" 5400RPM SATA 6.0 Gb/s",0531f3cf-e0c3-4551-be6d-e24b8c4f4079,hdd_0014,,Purple,HDD,3000GB
,500,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate BarraCuda 500GB HDD 3.5"" 7200RPM SATA",054364f2-d4c5-4fee-bd6e-4ce761153f07,hdd_0015,,BarraCuda,HDD,500GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red Pro 2TB HDD 7200RPM 3.5"" SATA",0576371a-c6c2-4fbc-92ed-7f1702138cce,hdd_0016,,Red,HDD,2000GB
,500,hdd,"2.5""",SATA 3.0 Gb/s,,Seagate,"Seagate Momentus 5400.6 500GB 5400 RPM HDD 2.5"" SATA",058683b3-f983-45fe-b1bf-55d021f2ca67,hdd_0017,,Momentus,HDD,500GB
,250,hdd,"2.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Black 250GB HDD 7200RPM 2.5"" SATA",05adb6e5-7b76-47f2-abe1-4f117e43f974,hdd_0018,,Black,HDD,250GB
,10000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Gold 10TB HDD 3.5"" 7200RPM SATA",060df2db-cfaf-464d-8183-bf5c7d369e61,hdd_0019,,Gold,HDD,10000GB
,8000,hdd,"3.5""",SAS 12.0 Gb/s,,Seagate,"Seagate Enterprise Capacity 8TB HDD 3.5"" SAS",06555cc2-9a3f-41be-94fa-f0da4d32df24,hdd_0020,,Enterprise,HDD,8000GB
,500,hdd,"3.5""",SATA 3.0 Gb/s,,Hitachi,"Hitachi 7K1000.C 500GB HDD 3.5"" 7200RPM SATA 3.0 Gb/s Internal",06ff6756-6f23-4bc3-82e7-14c862dbc29d,hdd_0021,,7K1000.C,HDD,500GB
,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Exos X16 14TB HDD 3.5"" 7200RPM SATA",07c8be31-0935-4ba4-91b6-039b5ce9585e,hdd_0022,,Exos,HDD,14000GB
,16000,hdd,"3.5""",SAS 12.0 Gb/s,,Seagate,"Seagate Exos X18 16TB HDD 3.5"" SAS 12.0 Gb/s",07ca082a-95ec-44c1-8954-2a076812ad69,hdd_0023,,Exos,HDD,16000GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba MG04ACA200E 2TB HDD 7200RPM 3.5"" SATA",07f25988-b02e-4e11-9451-63b706bd4ab3,hdd_0024,,MG04ACA200E,HDD,2000GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Ultrastar 8TB HDD 3.5"" SATA",080c8fbe-1925-4784-84bc-07399909eff5,hdd_0025,,Ultrastar,HDD,8000GB
,6000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate Bare Drives,"Seagate IronWolf 6TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s CMR 3.5"" Internal HDD for RAID Network Attached Storage ST6000VN0033",081ba78f-80bb-4790-b55f-c0529b61bd0f,hdd_0026,2018,IronWolf,HDD,
,16000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba MG09 512e 16TB 3.5"" HDD 7200RPM SATA",08838759-69e6-4a2b-9ebc-814a0d3f9875,hdd_0027,,MG09,HDD,16000GB
,18000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Purple Pro 18TB HDD 7200RPM 3.5"" SATA",08c2f2f1-3662-45f6-97be-b65fbdaeedc5,hdd_0028,,Purple,HDD,18000GB
,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba MG09 512e 14TB HDD 3.5"" 7200RPM SATA 6.0 Gb/s",0959c7d8-d4bc-4d64-983f-9e45ed701cd5,hdd_0029,,MG09,HDD,14000GB
,10000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba N300 10TB 3.5"" HDD SATA",09668674-3d72-444b-9010-d2cb6f29bab5,hdd_0030,,N300,HDD,10000GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba X300 8TB HDD 7200RPM 3.5"" SATA 6.0 Gb/s",09ded92e-83b6-4347-aea6-1a0d8173553d,hdd_0031,,X300,HDD,8000GB
,500,hdd,"2.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba HDKCC00 500GB 2.5"" HDD 7200RPM SATA",0aa44d8a-090b-49ed-860d-c3de0080e2ec,hdd_0032,,HDKCC00,HDD,500GB
,3000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate IronWolf NAS 3TB HDD 3.5"" 5400RPM SATA",0adcc842-b04f-4ff0-a66c-34663e39b017,hdd_0033,,IronWolf,HDD,3000GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red 4TB HDD 5400 RPM 3.5"" SATA",0aef9645-2a53-4737-8d9f-df790c7deb32,hdd_0034,,Red,HDD,4000GB
,500,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Blue 500GB HDD 3.5"" 7200RPM SATA",0af25141-9ad8-443b-a69e-40efa2f8bd89,hdd_0035,,Blue,HDD,500GB
,750,hdd,"2.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital Scorpio Blue 750 GB HDD 5400RPM 2.5"" SATA",0af4c2f8-fa62-4bd1-93c3-3eca1ef89765,hdd_0036,,Scorpio,HDD,750GB
,500,hdd,"2.5""",SATA 3.0 Gb/s,,Samsung,"Samsung Spinpoint M8 500GB Internal HDD 5400RPM 2.5"" SATA 3.0 Gb/s",0af8c29a-6b52-46c8-9f3d-c281e9edeec1,hdd_0037,,Spinpoint,HDD,500GB
512,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Ultrastar DC HC550 14TB Internal HDD 7200RPM 3.5"" SATA 6.0 Gb/s",0b031b85-9709-49e9-8f74-cf4b9bb8c3ca,hdd_0038,,Ultrastar,HDD,14000GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Surveillance 2TB HDD 3.5"" 5900RPM SATA",0b25aba1-a86c-48bb-a4dd-82032510cb83,hdd_0039,,Surveillance,HDD,2000GB
,24000,hdd,"3.5""",SAS 12.0 Gb/s,,Seagate,"Seagate Exos X24 24TB HDD 7200RPM 3.5"" SAS 12.0 Gb/s",0b4ff01f-2feb-4d34-b428-215866deb59e,hdd_0040,,Exos,HDD,24000GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate BarraCuda Pro 4TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",0bbf94b7-d137-4b09-a07c-b486612ccb3e,hdd_0041,,BarraCuda,HDD,4000GB
,2000,hdd,"3.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital RE4 2TB HDD 3.5"" 7200RPM SATA",0be229e3-e110-43d8-86b2-607d5e8f58a2,hdd_0042,,RE4,HDD,2000GB
,1000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate BarraCuda 1TB 3.5"" HDD 7200RPM SATA Internal",0bf0ed44-eb3c-4676-bfe5-362e0d3ffb14,hdd_0043,,BarraCuda,HDD,1000GB
,750,hdd,"2.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Blue 750GB 2.5"" HDD 5400RPM SATA",0c37adf9-3ca8-4c1b-a8ef-e8a2893579e3,hdd_0044,,Blue,HDD,750GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital WD Blue 8TB 3.5"" HDD 5640RPM SATA 6.0 Gb/s",0c3af185-6a06-41ec-b730-234b1f43d559,hdd_0045,,WD,HDD,8000GB
,1000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital WD_BLACK 1TB HDD 3.5"" 7200RPM SATA",0cfb430e-0d16-47c1-b09a-373293b84f6c,hdd_0046,,WD_BLACK,HDD,1000GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital WD Blue 2TB 3.5"" HDD 5400RPM SATA 6.0 Gb/s",0d032e64-27d9-4f6b-bc53-a6bd8fc59d8d,hdd_0047,,WD,HDD,2000GB
,3000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red Plus 3TB 3.5"" HDD SATA",0d974a8e-b471-47e6-81fa-fab8c122d7f1,hdd_0048,,Red,HDD,3000GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate IronWolf NAS 8TB 3.5"" Internal HDD 7200RPM SATA",0da0c94e-c6e1-4bcc-bbb1-268a8807e110,hdd_0049,,IronWolf,HDD,8000GB
,6000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Surveillance 6TB 3.5"" HDD 5400RPM SATA Internal",0da4be18-1188-4a6a-ba7c-8694ff9ac6f7,hdd_0050,,Surveillance,HDD,6000GB
,1000,hdd,"2.5""",SATA 6.0 Gb/s,,Seagate,"Seagate BarraCuda 1TB 2.5"" HDD 5400RPM SATA 6.0 Gb/s",0e070db2-9b0f-4f21-b2cf-0ce341602ed2,hdd_0051,,BarraCuda,HDD,1000GB
,1000,hdd,"3.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital Caviar Green 1TB HDD 3.5"" SATA",0e50a6d5-7ab1-4665-ad03-9bcfb9e5cee0,hdd_0052,,Caviar,HDD,1000GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate ST4000NC001 4TB HDD 3.5"" 5900RPM SATA 6.0 Gb/s",0ea7b977-e8e9-4968-a95e-ff60ecb487ed,hdd_0053,,ST4000NC001,HDD,4000GB
,3000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba MG03SCA 3TB HDD 3.5"" 7200RPM SATA",0ec23fa2-01ad-4ff5-a4b8-90d410c07764,hdd_0054,,MG03SCA,HDD,3000GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba N300 8TB HDD 3.5"" 7200RPM SATA",0f2f526d-ef3c-46e3-a102-188670956a49,hdd_0055,,N300,HDD,8000GB
,500,hdd,"2.5""",SATA 6.0 Gb/s,,Hitachi,"Hitachi Travelstar Z7K500 500 GB HDD 7200RPM 2.5"" SATA 6.0 Gb/s",0fe1d17d-29bb-40d3-a360-e92ba8093e8a,hdd_0056,,Travelstar,HDD,500GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba X300 4TB HDD 3.5"" 7200RPM SATA",0ff732f3-f5a4-4992-b6d2-3c42aea36e7d,hdd_0057,,X300,HDD,4000GB
512,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba N300 14TB HDD 3.5"" 7200RPM SATA 6.0 Gb/s",10173dbd-c286-4edb-8036-0df398617d2a,hdd_0058,,N300,HDD,14000GB
,640,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Caviar Black 640 GB 3.5"" HDD 7200 RPM SATA 6.0 Gb/s",10182557-42ed-423a-8cfb-26426b2734c1,hdd_0059,,Caviar,HDD,640GB
,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate IronWolf 14TB NAS Hard Drive 7200 RPM 256MB Cache SATA 6.0Gb/s CMR 3.5"" Internal HDD for RAID Network Attached Storage ST14000VN0008",10391aad-55b8-4743-a714-b1e78cb6b4d4,hdd_0060,2018,IronWolf,HDD,
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Hitachi,"Hitachi Deskstar NAS 4TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",108fafcb-e848-47b9-8401-f5c9db41c141,hdd_0061,,Deskstar,HDD,4000GB
,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate BarraCuda Pro 14TB HDD 3.5"" SATA",113634b2-5e21-4fa1-a2b7-de18ac8f19bc,hdd_0062,,BarraCuda,HDD,14000GB
,640,hdd,"3.5""",SATA 3.0 Gb/s,,Samsung,"Samsung Spinpoint F1 DT 640GB Internal HDD 7200RPM 3.5"" SATA 3.0 Gb/s",1195ecb8-de06-4e2c-91e7-932809a2ae72,hdd_0063,,Spinpoint,HDD,640GB
,1000,hdd,"2.5""",SATA 3.0 Gb/s,,Lenovo,"Lenovo 0A65633 1TB HDD 2.5"" SATA",11a42b93-69ca-4201-a6b7-c71796083980,hdd_0064,,0A65633,HDD,1000GB
,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Hitachi,"Hitachi Ultrastar DC HC530 14TB 3.5"" HDD SATA",1242b398-fada-4fec-8fed-433b9a9dc5aa,hdd_0065,,Ultrastar,HDD,14000GB
,2000,hdd,"3.5""",SATA 3.0 Gb/s,,Hitachi,"Hitachi 7K2000 2TB HDD 7200RPM 3.5"" SATA",125ef874-435c-4557-958d-e768ac323fa7,hdd_0066,,7K2000,HDD,2000GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Purple 2TB HDD 3.5"" 5400RPM SATA 6.0 Gb/s",13321fbb-1892-437e-9d42-200bfd95eac0,hdd_0067,,Purple,HDD,2000GB
,6000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate BarraCuda Pro 6TB 3.5"" HDD 7200RPM SATA",13701bd4-5aeb-4b59-a576-355cbf63060f,hdd_0068,,BarraCuda,HDD,6000GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Archive 8TB 3.5"" HDD 5900RPM SATA",13d81eac-4d5a-4162-90b2-7a7d121b6669,hdd_0069,,Archive,HDD,8000GB
,2000,hdd,"2.5""",SATA 6.0 Gb/s,,Seagate,"Seagate ST2000NX0303 2TB HDD 2.5"" SATA",13e5961c-f9f4-4c75-ae5d-c1ead23e6b4b,hdd_0070,,ST2000NX0303,HDD,2000GB
,320,hdd,"2.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Blue 320GB 2.5"" HDD 5400RPM SATA Internal",140731b6-b829-4ca1-bbb7-e0bbf6fa357f,hdd_0071,,Blue,HDD,320GB
,6000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Gold 6 TB 3.5"" Internal HDD 7200RPM SATA 6.0 Gb/s",147ae617-3070-48a7-9cfc-101e3145fc88,hdd_0072,,Gold,HDD,6000GB
,5000,hdd,"2.5""",SATA 6.0 Gb/s,,Seagate,"Seagate BarraCuda 5TB 2.5"" HDD 5400RPM SATA",14b38333-d827-4ad9-b64a-10599606e00c,hdd_0073,,BarraCuda,HDD,5000GB
,160,hdd,"2.5""",SATA 3.0 Gb/s,,Seagate,"Seagate Momentus 5400.6 160 GB 2.5"" Internal HDD 5400 RPM SATA 3.0 Gb/s",14d253a4-21f7-49a6-905c-41361849a78d,hdd_0074,,Momentus,HDD,160GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Hitachi,"Hitachi Ultrastar He8 8TB HDD 3.5"" 7200RPM SATA 6.0 Gb/s",14dc8cb5-4526-4af5-9f85-67f0dbf68623,hdd_0075,,Ultrastar,HDD,8000GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red 8TB 3.5"" HDD 5400RPM SATA 6.0 Gb/s",1534a44d-3f92-4cf7-b10d-18ae6f139e4d,hdd_0076,,Red,HDD,8000GB
,600,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital VelociRaptor 600GB HDD 3.5"" 10000RPM SATA",15d7012a-5ac2-4bcc-bf75-c6ba5aed28a9,hdd_0077,,VelociRaptor,HDD,600GB
,10000,hdd,"3.5""",SAS 12.0 Gb/s,,Hitachi,"Hitachi Ultrastar He10 10TB HDD 3.5"" SAS 12.0 Gb/s",15ec3d8a-08aa-46bd-9ca7-6cae26fddba0,hdd_0078,,Ultrastar,HDD,10000GB
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Ultrastar DC HC520 12 TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s Internal",16014867-4dba-4174-a46c-02f6c3492fa0,hdd_0079,,Ultrastar,HDD,12000GB
,1000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Caviar Green 1.5TB 3.5"" HDD 5400RPM SATA",1601fcdd-f2bb-4efb-8d27-2fabe918e880,hdd_0080,,Caviar,HDD,1000GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Barracuda Compute 4TB 3.5"" HDD 5400RPM SATA 6.0 Gb/s",162e161d-6a2f-48bc-a893-cf5642e65851,hdd_0081,,Barracuda,HDD,4000GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Exos 7E8 4TB HDD 3.5"" 7200RPM SATA",163bb6b3-5862-4e02-883a-099d631f5fca,hdd_0082,,Exos,HDD,4000GB
,2000,hdd,"3.5""",SAS 6.0 Gb/s,,Hitachi,"Hitachi Ultrastar 7K4000 2TB 7200RPM HDD 3.5"" SAS 6.0 Gb/s",163fe5e6-a5c1-4d0f-b426-43a614342543,hdd_0083,,Ultrastar,HDD,2000GB
,6000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Archive v2 6TB HDD 3.5"" 5900RPM SATA",16846209-9084-4de8-8eb4-969cdfea6e26,hdd_0084,,Archive,HDD,6000GB
,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red Plus 14TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s Internal",16b7405c-ed18-45d4-a526-798c5f894d05,hdd_0085,,Red,HDD,14000GB
512,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital WD Blue 12TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",16c1ae50-e61b-4873-80a2-d5460c66b218,hdd_0086,,WD,HDD,12000GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital AV-GP 2TB 3.5"" Internal HDD 5400RPM SATA 6.0 Gb/s",16dc2eab-0229-4680-975a-74c8df80ba8f,hdd_0087,,AV-GP,HDD,2000GB
,3000,hdd,"3.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital Caviar Green 3TB HDD 3.5"" 5400 RPM SATA",16dde0fd-c6ef-42d6-a381-3099f653fbdd,hdd_0088,,Caviar,HDD,3000GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red 4TB 3.5"" HDD 5400RPM SATA 6.0 Gb/s Internal",170e02d8-9f6c-44e5-b79e-e5e84afa75c3,hdd_0089,,Red,HDD,4000GB
,250,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate BarraCuda 250GB HDD 7200RPM 3.5"" SATA",171efe7a-0550-47d9-8e49-f828f8163d13,hdd_0090,,BarraCuda,HDD,250GB
,4000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate ST4000VX000 4TB HDD 3.5"" 5900RPM SATA 6.0 Gb/s Internal",176ae2d9-9f57-40bf-bb31-54517080f069,hdd_0091,,ST4000VX000,HDD,4000GB
512,24000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate BarraCuda 24 TB HDD 7200RPM 3.5"" SATA 6.0 Gb/s",17b7cc1c-7b1b-4592-931a-7c97b6dcebbe,hdd_0092,,BarraCuda,HDD,24000GB
,500,hdd,"2.5""",SATA 3.0 Gb/s,,Seagate,"Seagate Momentus 7200.4 500GB HDD 2.5"" SATA",17cbcc1a-b078-4b49-a19e-e539df3d753a,hdd_0093,,Momentus,HDD,500GB
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Red Pro 12 TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",1895ce3f-c4b7-4ce8-a7eb-d401d1058ba0,hdd_0094,,Red,HDD,12000GB
512,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba N300 NAS 8TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",18d33bd8-c633-4889-b9cf-1ab99366e1ce,hdd_0095,,N300,HDD,8000GB
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Exos X24 12TB HDD 3.5"" SATA",18daa79c-827a-49bd-9fc1-168f500ee693,hdd_0096,,Exos,HDD,12000GB
,2000,hdd,"3.5""",SAS 6.0 Gb/s,,Seagate,"Seagate Constellation ES.3 2TB HDD 3.5"" 7200RPM SAS 6.0 Gb/s",18e7ac9a-0ab3-4094-879e-bb6eefaac18e,hdd_0097,,Constellation,HDD,2000GB
,4000,hdd,"2.5""",SATA 6.0 Gb/s,,Seagate,"Seagate BarraCuda 4TB 2.5"" HDD 5400RPM SATA Internal",193fbc22-f238-4c44-a652-b4b3807bd8b3,hdd_0098,,BarraCuda,HDD,4000GB
,14000,hdd,"3.5""",SATA 6.0 Gb/s,,Toshiba,"Toshiba MG08 14TB HDD 7200RPM 3.5"" SATA Internal",19446376-3ada-4576-bcf2-a0fb09e31fe6,hdd_0099,,MG08,HDD,14000GB
,3000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Barracuda XT 3TB Internal HDD 3.5"" 7200RPM SATA 6.0 Gb/s",19e4016b-beb2-4acd-bbd0-4d738d851f1f,hdd_0100,,Barracuda,HDD,3000GB
,80,hdd,"3.5""",SATA 3.0 Gb/s,,Seagate,"Seagate ST3808110AS 80 GB HDD 3.5"" 7200 RPM SATA 3.0 Gb/s Internal",19e7c50e-a4b4-4606-aff3-5bb26534bda0,hdd_0101,,ST3808110AS,HDD,80GB
,8000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate IronWolf NAS 8TB HDD 3.5"" 7200RPM SATA",19ee2d36-bedd-4ca8-8e11-653dfe14333c,hdd_0102,,IronWolf,HDD,8000GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital RE 2TB HDD 3.5"" 7200RPM SATA 6.0 Gb/s Internal",1a127e03-3b42-46f6-b1ee-395286a894bd,hdd_0103,,RE,HDD,2000GB
,16000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate Technology,Seagate IronWolf ST16000VN001 - hard drive - 16 TB - SATA 6Gb/s,1a4cb84d-40f4-41d7-9161-9d442d120ce4,hdd_0104,2024,IronWolf,HDD,
,5000,hdd,"3.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital Blue 5TB HDD 3.5"" SATA",1a78099f-0926-4b02-a3ec-6b5d5dcf2ccf,hdd_0105,,Blue,HDD,5000GB
,600,hdd,"2.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital VelociRaptor 600GB HDD 2.5"" 10000RPM SATA Internal",1bce846b-96bb-4ffd-a4a4-ed4a3c07945b,hdd_0106,,VelociRaptor,HDD,600GB
,2000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate SV35.5 2TB 3.5"" HDD 7200RPM SATA 6.0 Gb/s",1bf81ec5-d802-421a-a01f-afe39a7f4a63,hdd_0107,,SV35.5,HDD,2000GB
,80,hdd,"2.5""",SATA 1.5 Gb/s,,Western Digital,"Western Digital Scorpio Blue 80GB 2.5"" HDD 5400RPM SATA 1.5 Gb/s",1c0a799a-bb4d-4c1f-8a2d-c00d979f3980,hdd_0108,,Scorpio,HDD,80GB
,12000,hdd,"3.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Exos X16 12TB HDD 3.5"" 7200RPM SATA",1c33cb55-ee4d-4c2a-8f5f-9684c58dc4c1,hdd_0109,,Exos,HDD,12000GB
,320,hdd,"2.5""",SATA 3.0 Gb/s,,Western Digital,"Western Digital Scorpio Black 320GB HDD 7200RPM 2.5"" SATA",1cb53e3c-691f-45c4-9e9c-4cd55f341525,hdd_0110,,Scorpio,HDD,320GB
,1000,hdd,"2.5""",SAS 12.0 Gb/s,,Seagate,"Seagate ST1000NX0373 1TB 7200RPM HDD 2.5"" SAS",1cbd58a5-df28-4366-9efc-c2ccadb25a8c,hdd_0111,,ST1000NX0373,HDD,1000GB
,300,hdd,"2.5""",SATA 6.0 Gb/s,,Seagate,"Seagate Savvio 300GB HDD 2.5"" 10000RPM SATA",1d0be923-bf5f-4010-9f9c-8c70e7a09393,hdd_0112,,Savvio,HDD,300GB
