cache_mb,capacity_gb,category,form_factor,interface,lighting,manufacturer,name,nvme,opendb_id,part_id,release_year,series,storage_type,variant
,1000,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Kingston,Kingston NV1 1TB M.2-2280 SSD PCIe 3.0 x4 NVMe,True,024add70-c987-4042-8958-06f853d6c089,ssd_0016,,NV1,SSD,1000GB
,1000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,ADATA,ADATA XPG GAMMIX S70 1TB SSD M.2-2280 PCIe 4.0 X4 NVMe,True,0267d003-3d9a-4302-8651-77cfe032f473,ssd_0017,,XPG,SSD,1000GB
,256,ssd,"2.5""",SATA 6.0 Gb/s,,Kingston,"Kingston SSDNow KC400 256GB SSD 2.5"" SATA",False,02825a0c-14a3-4750-bf88-7774fccbd2db,ssd_0018,,SSDNow,SSD,256GB
,500,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Mushkin,Mushkin MKNSSDED500GB-D8 500GB M.2-2280 SSD PCIe 4.0 x4 NVMe,True,02834367-cd9f-4512-8d84-5bfdbb8295c4,ssd_0019,,MKNSSDED500GB-D8,SSD,500GB
,240,ssd,"2.5""",SATA 6.0 Gb/s,,Kingston,"Kingston HyperX 3K 240GB SSD 2.5"" SATA 6.0 Gb/s",False,02887c66-f92e-45e7-a297-a183b26445d1,ssd_0020,,HyperX,SSD,240GB
,512,ssd,"2.5""",SATA 6.0 Gb/s,,Transcend,"Transcend SSD230S 512GB SSD 2.5"" SATA",False,0290a035-9fb2-45e8-a632-4e44ab80917a,ssd_0021,,SSD230S,SSD,512GB
,500,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Samsung,Samsung 970 Evo 500 GB M.2-2280 SSD PCIe 3.0 X4 NVMe,True,02a8542e-003d-4c82-b30e-3286a228391a,ssd_0022,,970,SSD,500GB
,1000,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Corsair,Corsair MP600 Force Series Gen4 1TB M.2-2280 SSD NVMe PCIe 3.0 X4,True,02c09086-7856-4dd3-b9c2-a5fbbe7d47f1,ssd_0023,,MP600,SSD,1000GB
,240,ssd,"2.5""",SATA 6.0 Gb/s,,PNY,"PNY CS1211 240GB SSD 2.5"" SATA 6.0 Gb/s",False,0303f5f4-bba6-429c-bfb4-8c6169151eba,ssd_0024,,CS1211,SSD,240GB
,240,ssd,"2.5""",SATA 6.0 Gb/s,,TEAMGROUP,"TEAMGROUP L3 EVO 240GB SSD 2.5"" SATA",False,03114a84-f73d-4bb7-b822-2fec36366b41,ssd_0025,,L3,SSD,240GB
,8000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Western Digital,Western Digital Black SN850X 8TB M.2 SSD PCIe 4.0 NVMe,True,03116eec-b3d3-4daf-83d0-48e3d6cdbc9d,ssd_0026,,WD_Black,SSD,8000GB
,1000,ssd,"2.5""",SATA 6.0 Gb/s,,SanDisk,"SanDisk Ultra 3D 1 TB SSD 2.5"" SATA 6.0 Gb/s",False,0321e73a-c9b8-4261-93ea-a4dd47972d97,ssd_0027,,Ultra,SSD,1000GB
,1000,ssd,M.2-2280,M.2 SATA,,Timetec,Timetec 35TTQNM2SATA 1TB SSD M.2-2280 SATA,False,032d10b5-4b3a-4252-98f0-a8033bd2cd69,ssd_0028,,35TTQNM2SATA,SSD,1000GB
,2000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Mushkin,Mushkin Vortex Redline 2TB SSD M.2 PCIe 4.0 NVMe,True,035513fa-6b76-44cf-80c7-f26d3755a642,ssd_0029,,Vortex,SSD,2000GB
,1000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Corsair,Corsair MP600 ELITE PS5 1TB M.2 SSD PCIe 4.0 NVMe,True,038289bd-0b05-4d9b-ab3d-60191f4dbcfb,ssd_0030,,MP600,SSD,1000GB
,2000,ssd,M.2-2280,M.2 PCIe 5.0 x4,,Addlink,Addlink G55H 2TB SSD M.2 PCIe 5.0 NVMe,True,039208a9-2af9-4ec9-b40b-6d50b4c6874b,ssd_0031,,G55H,SSD,2000GB
,4000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Inland,Inland Gaming Performance Plus 4TB SSD M.2-2280 PCIe 4.0 X4 NVMe,True,03f5802b-08a2-4bbb-a3b7-f3e15c2b49a7,ssd_0032,,Gaming,SSD,4000GB
,240,ssd,M.2-2242,M.2 PCIe 3.0 x2,,Toshiba,Toshiba RC100 240GB SSD M.2-2242 PCIe 3.0 X2 NVMe,True,040b2d7a-6b04-4e19-bc7a-0297a1af043c,ssd_0033,,RC100,SSD,240GB
1024,1000,ssd,M.2-2280,M.2 PCIe 5.0 x4,,Western Digital,Western Digital WD_BLACK SN8100 w/Heatsink 1TB SSD M.2-2280 PCIe 5.0 x4 NVMe,True,0412c3c4-ad6f-4c74-96c2-d57ea5b2a84f,ssd_0034,,WD_BLACK,SSD,1000GB
,4000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Addlink,Addlink S95 4TB SSD M.2-2280 PCIe 4.0 NVMe,True,04208db5-efc4-4046-88a6-8d83e33efbb6,ssd_0035,,S95,SSD,4000GB
,1000,ssd,"2.5""",SATA 6.0 Gb/s,,Silicon Power,"Silicon Power A58 1TB SSD 2.5"" SATA 6.0 Gb/s",False,0438aece-4da4-40b8-8110-b6376b57297f,ssd_0036,,A58,SSD,1000GB
,200,ssd,"2.5""",SATA 3.0 Gb/s,,Intel,"Intel 710 200GB 2.5"" SSD SATA 3.0 Gb/s",False,043b039e-d9ae-4499-9c6a-4e5482b603c9,ssd_0037,,710,SSD,200GB
,512,ssd,"2.5""",SATA 6.0 Gb/s,,Samsung,"Samsung 860 Pro 512GB SSD 2.5"" SATA",False,04506d3e-c65f-4e6c-b96b-4b8cf1019ccb,ssd_0038,,860,SSD,512GB
,1000,ssd,PCIe,M.2 PCIe 3.0 x4,,Intel,Intel 750 1.2TB SSD PCIe NVMe,True,045adf36-e619-426b-853f-15bbe83b9626,ssd_0039,,750,SSD,1000GB
,40,ssd,"2.5""",SATA 3.0 Gb/s,,Intel,"Intel 320 40GB SSD 2.5"" SATA 3.0 Gb/s",False,0472cd8a-e6d2-4b3b-b3b1-c967cb6a56f2,ssd_0040,,320,SSD,40GB
,2000,ssd,"2.5""",SATA 6.0 Gb/s,,Timetec,"Timetec 30TTQNS3SATA-2TB 2TB SSD 2.5"" SATA 6.0 Gb/s",False,0473fbac-b04c-4f01-8042-9365d346d570,ssd_0041,,30TTQNS3SATA-2TB,SSD,2000GB
,128,ssd,"2.5""",SATA 6.0 Gb/s,,SK Hynix,"SK Hynix SH910A 128GB SSD 2.5"" SATA",False,0492f95a-adee-4799-b474-a8a4a0bea54f,ssd_0042,,SH910A,SSD,128GB
2048,2000,ssd,M.2-2280,M.2 PCIe 5.0 x4,,Western Digital,Western Digital WD_BLACK SN8100 2TB M.2-2280 SSD PCIe 5.0 X4 NVME,True,04ae6102-21a2-484d-b949-fb5720dd38a9,ssd_0043,,WD_BLACK,SSD,2000GB
,2000,ssd,"2.5""",SATA 6.0 Gb/s,,Samsung,"Samsung 870 Evo 2TB SSD 2.5"" SATA 6.0 Gb/s",False,051381be-2151-4937-a52b-755eaacc55d8,ssd_0044,,870,SSD,2000GB
,240,ssd,"2.5""",SATA 6.0 Gb/s,,Klevv,"Klevv NEO N400 240GB SSD 2.5"" SATA 6.0 Gb/s",False,052d8d25-b3bf-4a12-8e45-e302b55cbdde,ssd_0045,,NEO,SSD,240GB
,120,ssd,M.2-2280,M.2 SATA,,Western Digital,Western Digital WD Green 120GB SSD M.2-2280 SATA,False,056780b9-7a26-498f-8e44-bc0ea5aecccf,ssd_0046,,WD,SSD,120GB
,480,ssd,"2.5""",SATA 6.0 Gb/s,,KIOXIA,"KIOXIA EXCERIA 480GB SSD 2.5"" SATA 6.0 Gb/s",False,056a7a5e-98b7-498e-a786-453aceda1144,ssd_0047,,EXCERIA,SSD,480GB
,1000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Lexar,Lexar NM710 1TB SSD M.2-2280 PCIe 4.0 x4 NVMe,True,057bb908-a887-4248-a1f3-4d669c967e94,ssd_0048,,NM710,SSD,1000GB
,512,ssd,"2.5""",SATA 6.0 Gb/s,,Intel,"Intel 545s 512GB SSD 2.5"" SATA",False,057db56e-11ba-4759-aa4b-9de7b4866f01,ssd_0049,,545s,SSD,512GB
,120,ssd,"2.5""",SATA 6.0 Gb/s,,AMD,"AMD RADEON-R7SSD-120G 120GB SSD 2.5"" SATA",False,05950174-e1ad-46a2-bb6c-e1624ccdbe7a,ssd_0050,,RADEON-R7SSD-120G,SSD,120GB
,1000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Corsair,Corsair MP600 PRO NH 1TB M.2 SSD PCIe 4.0 NVMe,True,05b0af10-cdfd-4c75-bdea-6a8b360f133f,ssd_0051,,MP600,SSD,1000GB
,4000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Klevv,Klevv CRAS C910 4TB SSD M.2-2280 PCIe 4.0 x4 NVMe,True,05b1f33e-bd54-4e73-954f-e2ee28e0ec72,ssd_0052,,CRAS,SSD,4000GB
,1000,ssd,"2.5""",SATA 6.0 Gb/s,,Addlink,"Addlink S20 1TB SSD 2.5"" SATA",False,0603da7e-5188-4071-9673-539add1f1241,ssd_0053,,S20,SSD,1000GB
,2000,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Crucial,Crucial P5 2TB M.2-2280 SSD PCIe 3.0 x4 NVMe,True,063d43d5-9f84-4a15-b968-4e0601eab079,ssd_0054,,P5,SSD,2000GB
,120,ssd,"2.5""",SATA 6.0 Gb/s,,PNY,"PNY CS900 120GB 2.5"" SSD SATA",False,063e672f-77c7-4dd3-ba36-d63a46afc359,ssd_0055,,CS900,SSD,120GB
,512,ssd,"2.5""",SATA 6.0 Gb/s,,Patriot,"Patriot P210 512GB SSD 2.5"" SATA 6.0 Gb/s",False,06676dd2-4bb1-48e7-aa41-9efcd832ec5f,ssd_0056,,P210,SSD,512GB
,512,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Netac,Netac NV2000 512GB SSD M.2-2280 PCIe 3.0 X4 NVMe,True,066e4669-ada2-43cc-aa44-972b436b666c,ssd_0057,,NV2000,SSD,512GB
,1000,ssd,M.2-2280,M.2 PCIe 3.0 x4,,ADATA,ADATA Swordfish 1TB SSD M.2-2280 PCIe 3.0 X4 NVMe,True,0678d3fc-c3bd-47dd-bf96-8754595d98e5,ssd_0058,,Swordfish,SSD,1000GB
,128,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Samsung,Samsung SM951 128GB M.2-2280 SSD PCIe 3.0 x4 NVMe,True,06abdd61-dc23-4bfc-9d19-4638e012b8a5,ssd_0059,,SM951,SSD,128GB
,250,ssd,"2.5""",SATA 6.0 Gb/s,,Western Digital,"Western Digital WD Blue 250 GB SSD 2.5"" SATA 6.0 Gb/s",False,06b3cf0e-5bcf-4d38-9f88-35cedd7de30e,ssd_0060,,WD,SSD,250GB
,480,ssd,"2.5""",SATA 6.0 Gb/s,,Kingston,"Kingston FURY 480GB SSD 2.5"" SATA",False,06c84b61-5528-46c3-9132-321fe120c876,ssd_0061,,FURY,SSD,480GB
,512,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Klevv,Klevv CRAS C710 512GB SSD M.2-2280 PCIe 3.0 NVMe,True,06ce0532-cbed-4c6d-8759-b6c429e73c14,ssd_0062,,CRAS,SSD,512GB
,240,ssd,"2.5""",SATA 6.0 Gb/s,,ADATA,"ADATA Ultimate SU650 240GB SSD 2.5"" SATA",False,070d2f06-d9bd-4218-94d0-bed0c722b3d2,ssd_0063,,Ultimate,SSD,240GB
,960,ssd,"2.5""",SATA 6.0 Gb/s,,ADATA,"ADATA Ultimate SU650 960GB 2.5"" SSD SATA",False,071560ff-f174-44ea-bfcf-2d4f2e4ddf83,ssd_0064,,Ultimate,SSD,960GB
,256,ssd,"2.5""",SATA 6.0 Gb/s,,TEAMGROUP,"TEAMGROUP GX2 256GB SSD 2.5"" SATA",False,0746dc8e-02c1-42c6-8a4b-93afdacb1e76,ssd_0065,,GX2,SSD,256GB
,128,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Intel,Intel 600p 128GB SSD M.2-2280 PCIe 3.0 x4 NVMe,True,074d6599-614e-4d23-85a3-411596a7996c,ssd_0066,,600p,SSD,128GB
,1000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Silicon Power,Silicon Power US70 1TB M.2 SSD PCIe 4.0 NVMe,True,0755050c-a587-42af-8f59-be220a274afd,ssd_0067,,US70,SSD,1000GB
,2000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Lexar,Lexar Professional NM800PRO w/Heatsink 2TB SSD M.2-2280 PCIe 4.0 x4 NVMe,True,076d3ecd-e8e3-45c0-9166-bd1749dedce5,ssd_0068,,Professional,SSD,2000GB
,2000,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Apacer,Apacer AS2280P4U Pro 2TB SSD M.2-2280 PCIe 3.0 x4 NVMe,True,076e358e-2432-441d-822d-0771d74a3120,ssd_0069,,AS2280P4U,SSD,2000GB
,1000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Inland,Inland TN450 1TB M.2-2280 SSD PCIe 4.0 X4 NVMe,True,0784f704-2bbe-4041-850b-58e04f24044a,ssd_0070,,TN450,SSD,1000GB
,4000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Corsair,Corsair MP600 ELITE 4TB M.2 SSD NVMe PCIe 4.0,True,07b7c392-b2b9-4b27-9dfd-3b755521b859,ssd_0071,,MP600,SSD,4000GB
,1000,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Intel,Intel Pro 7600p 1TB SSD M.2-2280 PCIe 3.0 x4 NVMe,True,07de6b68-8ff5-499b-9d46-99e6ede92412,ssd_0072,,Pro,SSD,1000GB
,256,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Sabrent,Sabrent Rocket 256GB SSD M.2-2280 PCIe 3.0 x4 NVMe,True,07e67a47-d32a-4d20-9e3c-1b3188ce7e23,ssd_0073,,Rocket,SSD,256GB
,480,ssd,"2.5""",SATA 6.0 Gb/s,,Intel,"Intel 520 480GB SSD 2.5"" SATA 6.0 Gb/s",False,07f17a37-a49a-460e-84b1-3d26e7fdc0ca,ssd_0074,,520,SSD,480GB
,512,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Silicon Power,Silicon Power P34A80 512GB SSD M.2-2280 PCIe 3.0 X4 NVME,True,080f782f-f4c0-4135-8d56-a8a31a5eedd7,ssd_0075,,P34A80,SSD,512GB
,256,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Mushkin,Mushkin Tempest 256GB M.2-2280 SSD PCIe 3.0 X4 NVMe,True,083402b0-7533-4cff-aa24-6cf293ce345d,ssd_0076,,Tempest,SSD,256GB
,500,ssd,"2.5""",SATA 6.0 Gb/s,,Seagate,"Seagate FireCuda 120 500GB SSD 2.5"" SATA 6.0 Gb/s",False,0836497e-fdff-4ab0-9a06-6d260ec4c5fb,ssd_0077,,FireCuda,SSD,500GB
,2000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Crucial,Crucial P310 2TB M.2 SSD PCIe 4.0 NVMe,True,083a4906-cd4f-4dd4-86f0-95c0072e645f,ssd_0078,,P310,SSD,2000GB
,800,ssd,"2.5""",SATA 6.0 Gb/s,,Intel,"Intel DC S3500 800GB SSD 2.5"" SATA",False,083ee6ef-84bc-4262-ab70-f14df735b423,ssd_0079,,DC,SSD,800GB
,128,ssd,"2.5""",SATA 6.0 Gb/s,,Samsung,"Samsung 850 Pro 128GB SSD 2.5"" SATA",False,088ea9fa-26ac-411b-aa47-f3e0b5102a7c,ssd_0080,,850,SSD,128GB
,512,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Verbatim,Verbatim Vi3000 512GB SSD M.2-2280 PCIe 3.0 x4 NVMe,True,089ffbb9-3a57-4a1e-b28a-a2c83c2fdfd2,ssd_0081,,Vi3000,SSD,512GB
,1000,ssd,M.2-2280,M.2 PCIe 3.0 x4,,PNY,PNY CS2230 1TB SSD M.2-2280 PCIe 3.0 X4 NVMe,True,08afe3bf-c5d3-48af-b80c-eeca545c798a,ssd_0082,,CS2230,SSD,1000GB
,2000,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Crucial,Crucial P1 2TB M.2-2280 SSD PCIe 3.0 X4 NVMe,True,08f4c09c-7b62-44d2-8906-6b73f55f5b34,ssd_0083,,P1,SSD,2000GB
,480,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Corsair,Corsair MP510 480GB SSD M.2 PCIe 3.0 NVMe,True,08f9a4fb-d5c3-4e2a-89ca-6b23834c8158,ssd_0084,,MP510,SSD,480GB
,240,ssd,"2.5""",SATA 6.0 Gb/s,,Samsung,"Samsung PM893 240 GB SSD 2.5"" SATA 6.0 Gb/s",False,09343361-1be5-431b-8e7c-02b76d6d4384,ssd_0085,,PM893,SSD,240GB
,4000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Corsair,Corsair CSSD-F4000GBMP600PHX 4TB SSD M.2-2280 PCIe 4.0 x4 NVMe,True,09482c45-ef34-4f0b-929f-5701cb277a78,ssd_0086,,CSSD-F4000GBMP600PHX,SSD,4000GB
,2000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,ADATA,ADATA LEGEND 800 GOLD 2TB M.2 SSD PCIe 4.0 NVMe,True,095479df-1638-472e-b83e-52a349c2c58e,ssd_0087,,LEGEND,SSD,2000GB
,256,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Silicon Power,Silicon Power A80 256GB M.2 SSD PCIe 3.0 NVMe,True,0954aa03-cfab-4df2-ab3b-9b037a502823,ssd_0088,,A80,SSD,256GB
,512,ssd,M.2-2280,M.2 PCIe 3.0 x4,,XOC,XOC G300 512GB SSD M.2-2280 PCIe 3.0 X4 NVMe,True,0955cd5f-636e-4b28-bd4d-c78d046f2235,ssd_0089,,G300,SSD,512GB
,2000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Silicon Power,Silicon Power US70 2TB M.2-2280 SSD PCIe 4.0 x4 NVMe,True,095d9282-963d-4570-bfbf-d9df8fcc2176,ssd_0090,,US70,SSD,2000GB
,512,ssd,M.2-2230,M.2 PCIe 3.0 x4,,KIOXIA,KIOXIA BG4 512GB SSD M.2-2230 PCIe 3.0 NVMe,True,09717340-e3d0-4e89-a347-a9cbe9bd59e8,ssd_0091,,BG4,SSD,512GB
,500,ssd,M.2-2260,M.2 SATA,,Crucial,Crucial MX200 500GB SSD M.2-2260 SATA,False,099130f7-74da-4e59-99fb-e159bcfa52b9,ssd_0092,,MX200,SSD,500GB
,1000,ssd,"3.5""",SATA 3.0 Gb/s,,OCZ,"OCZ Colossus 1TB SSD 3.5"" SATA",False,09a28211-98c1-47b6-8f84-c95ca8c8a85f,ssd_0093,,Colossus,SSD,1000GB
,1000,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Gigabyte,Gigabyte Gen3 2500E 1TB SSD M.2-2280 PCIe 3.0 X4 NVMe,True,09afa45b-19e7-41d2-9b4b-a7ef7096c98b,ssd_0094,,Gen3,SSD,1000GB
,1000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Fantom Drives,Fantom Drives VENOM7 1TB M.2-2280 SSD PCIe 4.0 x4 NVMe,True,09eb05ad-4a32-4044-b8f5-a90028d7f088,ssd_0095,,VENOM7,SSD,1000GB
,500,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Western Digital,Western Digital Blue SN550 500GB SSD M.2 PCIe 3.0 NVMe,True,0a258b1a-f049-4813-a19d-c1aeaba1a043,ssd_0096,,Blue,SSD,500GB
,1000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,MSI,MSI SPATIUM M480 HS 1TB SSD M.2-2280 PCIe 4.0 X4 NVMe,True,0a3d9e21-3058-4221-87e8-5e690a2502ca,ssd_0097,,SPATIUM,SSD,1000GB
,800,ssd,"2.5""",SAS 12.0 Gb/s,,Seagate,"Seagate 1200 800GB SSD 2.5"" SAS 12.0 Gb/s",False,0a5dd074-d307-48d7-94dc-60458d6f1577,ssd_0098,,1200,SSD,800GB
,1000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,SanDisk,SanDisk Extreme 1TB SSD M.2 PCIe 4.0 NVMe,True,0a60bddc-4201-4508-8390-2e842a2a4382,ssd_0099,,Extreme,SSD,1000GB
,3000,ssd,"2.5""",SATA 6.0 Gb/s,,Intel,"Intel D3-S4610 3TB SSD 2.5"" SATA",False,0a9a44f1-23e7-4218-96d4-330adca38b6d,ssd_0100,,D3-S4610,SSD,3000GB
,512,ssd,"2.5""",SATA 6.0 Gb/s,,TEAMGROUP,"TEAMGROUP T-Force Vulcan Z 512GB SSD 2.5"" SATA",False,0aab8a9f-b914-4c17-93d6-2cd9d3504645,ssd_0101,,T-Force,SSD,512GB
,1000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,Seagate,Seagate FireCuda 530R 1TB SSD M.2-2280 PCIe 4.0 X4 NVMe,True,0ae32855-b954-45d0-97d7-4147f11f7799,ssd_0102,,FireCuda,SSD,1000GB
,960,ssd,"2.5""",SATA 6.0 Gb/s,,Kingston,"Kingston UV500B 960GB SSD 2.5"" SATA 6.0 Gb/s",False,0b218463-6ccc-4650-bfd1-b37e051eb199,ssd_0103,,UV500B,SSD,960GB
,16,ssd,"2.5""",SATA 3.0 Gb/s,,Transcend,"Transcend TS16GSSD500 16 GB SSD 2.5"" SATA 3.0 Gb/s",False,0b2ddbb3-a92e-4269-add4-f596257639d4,ssd_0104,,TS16GSSD500,SSD,16GB
,1000,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Sabrent,Sabrent Rocket 1TB SSD M.2-2280 PCIe 3.0 X4 NVMe,True,0b3877a0-461b-4fa9-b090-417d8eee2c9f,ssd_0105,,Rocket,SSD,1000GB
,128,ssd,"2.5""",SATA 6.0 Gb/s,,Silicon Power,"Silicon Power SU128GBSS3A55S25AE 128GB SSD 2.5"" SATA 6.0 Gb/s",False,0b5931d6-d7c1-4990-819b-e02649ca463d,ssd_0106,,SU128GBSS3A55S25AE,SSD,128GB
,256,ssd,"2.5""",SATA 6.0 Gb/s,,Samsung,"Samsung 850 Pro 256GB SSD 2.5"" SATA 6.0 Gb/s",False,0b6d01c0-09cc-4647-945c-9f936c0a7b1c,ssd_0107,,850,SSD,256GB
,2000,ssd,M.2-2280,M.2 PCIe 5.0 x4,,Patriot,Patriot Viper PV553 2TB SSD M.2-2280 PCIe 5.0 x4 NVMe,True,0b84d54d-eb73-4139-8b4d-4da67af99dd8,ssd_0108,,Viper,SSD,2000GB
,1000,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Inland,Inland Premium 1TB SSD M.2 NVMe,True,0c0215f8-f3be-470f-84af-684c9016b682,ssd_0109,,Premium,SSD,1000GB
,1000,ssd,M.2-2280,M.2 PCIe 3.0 x4,,Crucial,Crucial P1 1TB SSD M.2-2280 PCIe 3.0 x4 NVMe,True,0c06fed4-2536-4302-aaa2-2e7d162c7d37,ssd_0110,,P1,SSD,1000GB
,4000,ssd,M.2-2280,M.2 PCIe 4.0 x4,,PNY,PNY XLR8 CS3040 4TB SSD M.2-2280 PCIe 4.0 x4 NVMe,True,0c0ce200-1b37-4908-840b-0d53916cb791,ssd_0111,,XLR8,SSD,4000GB
,1000,ssd,M.2-2280,M.2 PCIe 3.0 x4,,ADATA,ADATA XPG GAMMIX S7 1TB M.2 SSD PCIe 3.0 NVMe,True,0c331b53-9ccf-4744-8668-a60be262efe8,ssd_0112,,XPG,SSD,1000GB
