cache_l2,cache_l3,category,clock_base,clock_boost,clock_efficiency_base,clock_efficiency_boost,cores_efficiency,cores_performance,cores_total,integrated_graphics,manufacturer,memory_channels,memory_max_gb,memory_types,microarchitecture,name,opendb_id,part_id,release_year,series,socket,tdp,threads,variant
1,11,cpu,3.6,4.5,,,0,0,8,None,,4,,DDR4,Skylake-X,Intel Core i7-7820X,3e8b5db8-eaf0-4627-b6c6-22342f5515c3,cpu_0204,2017,,LGA 2066,140,16,
1,4,cpu,3.4,0,0,0,0,0,2,AMD Radeon Vega 3,AMD,2,,DDR4,Zen,Athlon 220GE,3e9a2f79-fccb-49c1-bda6-b6dc9eacfff2,cpu_0205,2018,,AM4,35,4,
8,16,cpu,2.8,3.3,,,,8,8,None,AMD,,,,Piledriver,AMD Opteron 6320 2.8 GHz 8-Core G34,3fb38431-cd3f-4b64-b4de-51de9384277b,cpu_0206,,AMD Opteron,G34,115,8,
8,8,cpu,4.4,4.7,,,,8,8,None,AMD,,,,Piledriver,AMD FX 9370 4.4 GHz 8-Core AM3+,3fffdbb8-5da1-4159-8df2-6b3b56ad0d6b,cpu_0207,,AMD FX,AM3+,220,8,
28,33,cpu,3.4,5.5,2.5,4.3,12,8,20,,Intel,2,,"DDR5, DDR4",Raptor Lake Refresh,Intel Core i7 14700KF 3.4 GHz 20-Core LGA1700,402c2508-a75c-4f4d-9d09-778349ae72bb,cpu_0208,2023,Intel Core i7 14000,LGA 1700,125,28,14700KF
3,32,cpu,3.6,4.2,,,,6,6,None,AMD,,,DDR4,Zen 2,AMD Ryzen 5 3600 3.6 GHz 6-Core AM4,40bb090d-7f4e-451e-99e5-fd9299a4aad7,cpu_0209,,AMD Ryzen 5,AM4,65,12,
5,9,cpu,2.9,4.1,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i5 9400 2.9 GHz 6-Core LGA1151,4102198f-b559-46e0-8973-5d95592dfdbf,cpu_0210,,Intel Core i5,LGA 1151,65,6,
2,20,cpu,2.6,3.3,,,,8,8,None,Intel,,,,Sandy Bridge,Intel Xeon E5 2670 2.6 GHz 8-Core LGA2011 OEM/Tray,413d81ac-27e3-4f38-b60f-e5d7b9336d69,cpu_0211,,Intel Xeon E5,LGA 2011,115,16,
0.512,3,cpu,3.7,,,,,,2,Intel HD Graphics 530,Intel,,,"DDR4, DDR3",Skylake,Intel Core i3-6100 Processor 3M Cache 3.70 GHz,414404ea-be98-44a0-80bc-13298538b955,cpu_0212,2015,Intel Core i3,LGA 1151,51,4,6100
12,25,cpu,3.6,4.9,2.7,3.8,4,8,12,Intel UHD 770,Intel,2,,"DDR5, DDR4",Alder Lake,Intel Core i7 12700K 3.6 GHz 12-Core LGA1700,41a8238b-049f-46db-a304-0c8ece1a8d73,cpu_0213,2021,Intel Core i7 12000,LGA 1700,125,20,12700K
2,20,cpu,2.2,3,,,,8,8,None,Intel,,,,Sandy Bridge,Intel Xeon E5 2660 2.2 GHz 8-Core LGA2011,42a798ea-ab63-48a7-aef3-d2e556e7e77c,cpu_0214,,Intel Xeon E5,LGA 2011,95,16,
30,30,cpu,4.2,5.3,3.3,4.6,12,6,18,Intel Graphics,Intel,2,,DDR5,Arrow Lake Refresh,Intel Core Ultra 5 250K Plus,42bf3737-1201-40d1-bfd8-7bf606507deb,cpu_0215,2026,Intel Core Ultra 5 200,LGA 1851,125,18,250K Plus
8,8,cpu,4.7,5,,,,8,8,None,AMD,,,,Piledriver,AMD FX FX-9590 4.7 GHz 8-Core AM3+ OEM/Tray,42c34953-ab24-4504-8272-4fb1aeec2324,cpu_0216,,AMD FX,AM3+,220,8,
4,32,cpu,3.9,4.5,,,,8,8,None,AMD,,,DDR4,Zen 2,AMD Ryzen 7 3800X 3.9 GHz 8-Core AM4,43597450-8c66-4f59-9ef5-c347c0a45fd4,cpu_0217,,AMD Ryzen 7,AM4,105,16,
5,25,cpu,3.1,3.5,,,,10,10,None,Intel,,,,Haswell,Intel Xeon E5 2687W V3 3.1 GHz 10-Core LGA2011-3,436df5cd-e521-4ceb-8109-28c208388228,cpu_0218,,Intel Xeon E5,LGA 2011-3,160,20,
3,16,cpu,3.6,4,,,,6,6,None,AMD,,,DDR4,Zen,AMD Ryzen 5 1600X 3.6 GHz 6-Core AM4,4380faca-acb9-48dd-b1cd-9c6bafcc77c1,cpu_0219,,AMD Ryzen 5,AM4,95,12,
10,75,cpu,3.3,4.5,,,,10,10,None,Intel,,,,Skylake,Intel Core i9 7900X 3.3 GHz 10-Core LGA2066,43cdf007-0563-402f-9481-47e8cec31fc6,cpu_0220,,Intel Core i9,LGA 2066,140,20,
4,0,cpu,3.1,3.8,,,,4,4,None,AMD,,,,Steamroller,AMD Athlon X4 840 3.1 GHz 4-Core FM2+ OEM/Tray,43ecd4d2-757d-47a9-affa-9f0832a4c482,cpu_0221,,AMD Athlon X4,FM2+,65,4,
5,12,cpu,4.1,4.8,,,,6,6,None,Intel,,,,Comet Lake,Intel Core i5 10600KF 4.1 GHz 6-Core LGA1200,44a6a1e7-2e9f-43e0-aa38-ced3e17a0686,cpu_0222,,Intel Core i5,LGA 1200,125,12,
4,0,cpu,3.7,4,,,,4,4,None,AMD,,,,Steamroller,AMD Athlon X4 860K 3.7 GHz 4-Core FM2+,4508f2bd-cda9-4017-9b43-bb44847d7c32,cpu_0223,,AMD Athlon X4,FM2+,95,4,
3,99,cpu,3.6,4.2,,,,6,6,None,AMD,,,DDR4,Zen+,AMD Ryzen 5 2600X 3.6 GHz 6-Core AM4 OEM/Tray,45118c9a-09c6-47e8-b3b0-9abca47b472f,cpu_0224,,AMD Ryzen 5,AM4,95,12,
4,16,cpu,3.7,4.6,,,,8,8,None,AMD,,,DDR4,Zen 3,AMD Ryzen 7 5700 3.7 GHz 8-Core AM4,45d4e389-6f53-4650-b175-f9a0a2abafda,cpu_0225,,AMD Ryzen 7,AM4,65,16,
5,12,cpu,2.2,4.1,,,,4,4,Intel UHD Graphics 730,Intel,,,"DDR5, DDR4",Alder Lake,Intel Core i3 12100T 2.2 GHz 4-Core LGA1700 OEM/Tray,46b131f6-a122-4028-bf08-56543b14ab7d,cpu_0226,,Intel Core i3,LGA 1700,35,8,
1,0,cpu,3.7,3.9,,,,2,2,AMD Radeon HD 8370D,AMD,,,,Piledriver,AMD A-Series A4 6300B 3.7 GHz 2-Core FM2,46e05be5-b575-4838-8299-e5993a5dabbf,cpu_0227,,AMD A4,FM2,65,2,
5,12,cpu,3.1,4.5,,,,6,6,Intel UHD Graphics 630,Intel,,,,Comet Lake,Intel Core i5 10500 3.1 GHz 6-Core LGA1200,48ac4925-1fce-4bf9-8002-a3bb6c0afe4f,cpu_0228,,Intel Core i5,LGA 1200,65,12,
1,0,cpu,3.8,4,,,,2,2,AMD Radeon R5 (on-die),AMD,,,DDR4,Excavator,AMD A6 AMD A6 A6-9550 3.8 GHz 2-Core AM4 OEM/Tray,48d0ae54-1282-4393-951a-d36928cd2938,cpu_0229,,AMD A6,AM4,65,2,
16,64,cpu,4.5,5.7,,,,16,16,AMD Radeon,AMD,,,DDR5,Zen 4,AMD EPYC 4564P 4.5 GHz 16-Core AM5,48e1de64-e4a3-484b-8de6-edc06c83df06,cpu_0230,,AMD EPYC,AM5,170,32,
4,0,cpu,3.1,3.8,,,,4,4,AMD Radeon R7 (on-die),AMD,,,,Steamroller,AMD A8 7600 3.1 GHz 4-Core FM2+,49ba0ecb-9fd9-46a0-a753-62c4d0a6a538,cpu_0231,,AMD A8,FM2+,65,4,
4,0,cpu,4,4.2,,,,4,4,None,AMD,,,,Steamroller,AMD Athlon X4 880K 4 GHz 4-Core FM2+ OEM/Tray,4a3a45bb-fe47-449a-8a78-44d023e1bacc,cpu_0232,,AMD Athlon X4,FM2+,95,4,
6,25,cpu,3.5,4,,,,6,6,None,Intel,,,,Skylake,Intel Core i7 7800X 3.5 GHz 6-Core LGA2066 OEM/Tray,4a6afe32-37f9-45c5-88ac-bf43d847e3e4,cpu_0233,,Intel Core i7,LGA 2066,140,12,
5,45,cpu,2.3,3.6,,,,18,18,None,Intel,,,,Haswell,Intel Xeon E5 2699 V3 2.3 GHz 18-Core LGA2011-3 OEM/Tray,4af10421-db87-4428-bfc7-b558795348e4,cpu_0234,,Intel Xeon E5,LGA 2011-3,145,36,
3,8,cpu,3.6,4.1,,,,6,6,None,AMD,,,DDR4,Zen 2,AMD Ryzen 5 4500 3.6 GHz 6-Core AM4,4b70d972-96c3-4813-b291-cce2c30eb149,cpu_0235,,AMD Ryzen 5,AM4,65,12,
2,20,cpu,2.4,3.2,,,,8,8,None,Intel,,,,Haswell,Intel Xeon E5 2630 V3 2.4 GHz 8-Core LGA2011-3,4bfe2666-b093-4403-8dc3-d42dc990a24b,cpu_0236,,Intel Xeon E5,LGA 2011-3,85,16,
28,33,cpu,2.1,5.4,1.5,4.2,,,20,Intel UHD Graphics 770,Intel,,,"DDR5, DDR4",Raptor Lake Refresh,Intel Core i7 14700 2.1 GHz 20-Core LGA1700,4c755ff5-c35b-433b-a2fb-66e65d2ac68e,cpu_0237,,Intel Core i7,LGA 1700,65,28,
2,20,cpu,2.7,3.3,,,,8,8,None,Intel,,,,Sandy Bridge,Intel Xeon E5 4650 2.7 GHz 8-Core LGA2011,4d3bc941-a14c-4efb-a7e6-2dfdbe0a5ce4,cpu_0238,,Intel Xeon E5,LGA 2011,130,16,
36,30,cpu,3.9,5.4,3.3,4.6,12,8,20,Intel Graphics,Intel,2,,DDR5,Arrow Lake,Intel Core Ultra 7 265K 3.9 GHz 20-Core LGA1851,4d8d9d6b-723c-40ee-b1e9-e6665c58ae75,cpu_0239,2022,Intel Core Ultra 7 200,LGA 1851,125,20,265K
8,96,cpu,4.2,5,,,,,8,AMD Radeon Graphics,AMD,2,,DDR5,Zen 4,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core AM5,4dcfffec-423b-4052-8aca-db6c0f84bb43,cpu_0240,2023,AMD Ryzen 7 7000,AM5,120,16,7800X3D
1,8,cpu,3.6,4,,,,4,4,None,Intel,,,,Skylake,Intel Xeon E3 1270 V5 3.6 GHz 4-Core LGA1151 OEM/Tray,4e0af660-9587-412f-9d17-d17310c446d8,cpu_0241,,Intel Xeon E3,LGA 1151,80,8,
4,0,cpu,3.8,4.1,,,,4,4,None,AMD,,,,Piledriver,AMD Athlon X4 760K 3.8 GHz 4-Core FM2,4e2fbb63-b98f-4b3a-8eca-a1defdbcb970,cpu_0242,,AMD Athlon X4,FM2,100,4,
12,5,cpu,2.9,4.4,,,,12,12,None,Intel,,,,Skylake,Intel Core i9 7920X 2.9 GHz 12-Core LGA2066,4e43c899-6134-42d3-a3a2-bcb5177d82d8,cpu_0243,,Intel Core i9,LGA 2066,140,24,
1,6,cpu,3.6,0,0,0,0,0,4,Intel UHD Graphics 630,,2,,DDR4,Coffee Lake,Intel Core i3-8100,4e595e68-eb83-4cc3-9118-653b05747d5a,cpu_0244,2017,,LGA 1151,65,4,
5,35,cpu,2.4,3.3,,,,14,14,None,Intel,,,,Broadwell,Intel Xeon E5 2680 V4 2.4 GHz 14-Core LGA2011-3,4e6c1ad8-8bc8-4e6d-a384-10ff8335d427,cpu_0245,,Intel Xeon E5,LGA 2011-3,120,28,
1,8,cpu,3.6,4.2,,,,4,4,Intel HD Graphics 630,Intel,,,,Kaby Lake,Intel Core i7 7700 3.6 GHz 4-Core LGA1151,4e6f82c0-c099-4640-95b3-9d3266e9886a,cpu_0246,,Intel Core i7,LGA 1151,65,8,
2,16,cpu,3.1,5,,,,8,8,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i9 9900 3.1 GHz 8-Core LGA1151,4e7cc444-43db-41c6-8f70-fdee1932ee05,cpu_0247,,Intel Core i9,LGA 1151,65,16,
3,30,cpu,2.2,2.9,,,,12,12,None,Intel,,,,Haswell,Intel Xeon E5 2658 V3 2.2 GHz 12-Core LGA2011-3,4f06759f-c06d-4b90-bbdb-b37b37d3c5b3,cpu_0248,,Intel Xeon E5,LGA 2011-3,105,24,
16,128,cpu,4.2,5.7,,,,,16,AMD Radeon Graphics,AMD,2,,DDR5,Zen 4,AMD Ryzen 9 7950X3D 4.2 GHz 16-Core AM5,4fb54223-132b-42ac-b668-4be50bb6df71,cpu_0249,2023,AMD Ryzen 9 7000,AM5,120,32,7950X3D
5,9,cpu,3.6,4.3,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake,Intel Core i5 8600K 3.6 GHz 6-Core LGA1151,4fd216c7-0579-4576-846e-723a6d537555,cpu_0250,,Intel Core i5,LGA 1151,95,6,
1,10,cpu,3.6,3.8,,,,4,4,None,Intel,,,,Sandy Bridge,Intel Xeon E5 1620 3.6 GHz 4-Core LGA2011 OEM/Tray,50930d6c-0ca5-44a1-9f31-26e59611f8fb,cpu_0251,,Intel Xeon E5,LGA 2011,130,8,
4,16,cpu,3.6,4,,,,8,8,None,AMD,,,DDR4,Zen,AMD Ryzen 7 1800X 3.6 GHz 8-Core AM4 OEM/Tray,50d672fd-cb38-42d1-9b4f-4e5de11d2065,cpu_0252,,AMD Ryzen 7,AM4,95,16,
1,8,cpu,3.3,4.3,,,,4,4,None,Intel,,,,Coffee Lake,Intel Xeon E 2124 3.3 GHz 4-Core LGA1151,51585d60-2575-4abb-9283-9900580d53e1,cpu_0253,,Intel Xeon E,LGA 1151,71,4,
5,35,cpu,2.3,3.3,,,,14,14,None,Intel,,,,Haswell,Intel Xeon E5 2695 V3 2.3 GHz 14-Core LGA2011-3 OEM/Tray,518c44bf-d6d8-41d9-99b8-752d15af5021,cpu_0254,,Intel Xeon E5,LGA 2011-3,120,28,
0.25,3,cpu,3.4,,,,0,0,2,Intel HD Graphics 630,,2,,"DDR3, DDR4",Kaby Lake,Intel Core i3-7100T Processor,51d94d56-b80d-4ea9-9653-f3588535f558,cpu_0255,2017,,LGA 1151,35,4,
4,0,cpu,3.6,3.9,,,,4,4,AMD Radeon R7 (on-die),AMD,,,,Steamroller,AMD A-Series A8 7670K 3.6 GHz 4-Core FM2+,51de7b78-f771-4e48-9e54-cf98e5f7128a,cpu_0256,,AMD A8,FM2+,95,4,
18,24,cpu,2.6,4.4,,,,18,18,None,Intel,,,,Skylake,Intel Core i9 7980XE 2.6 GHz 18-Core LGA2066 OEM/Tray,51ed618a-fade-4996-8480-c98e10f49271,cpu_0257,,Intel Core i9,LGA 2066,165,36,
2,16,cpu,4,5,,,,8,8,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i9 9900KS 4 GHz 8-Core LGA1151,52046b4b-1ff1-4593-9cc5-f007a38fa409,cpu_0258,,Intel Core i9,LGA 1151,127,16,
2,20,cpu,3.2,3.7,,,,8,8,None,Intel,,,,Broadwell,Intel Core i7 6900K 3.2 GHz 8-Core LGA2011-3,529da8f1-d398-4ef3-b6c9-2a2a2dde4b14,cpu_0259,,Intel Core i7,LGA 2011-3,140,16,
1,8,cpu,2.9,3.8,,,,4,4,Intel HD Graphics 630,Intel,,,,Kaby Lake,Intel Core i7 7700T 2.9 GHz 4-Core LGA1151,52fdaf26-948d-4f20-97bd-13ba298abac5,cpu_0260,,Intel Core i7,LGA 1151,35,8,
32,36,cpu,3.2,6,2.4,4.4,,,24,None,Intel,,,"DDR5, DDR4",Raptor Lake Refresh,Intel Core i9 14900KF 3.2 GHz 24-Core LGA1700,536e31d4-f1a4-4936-897a-8866bcfb01e6,cpu_0261,,Intel Core i9,LGA 1700,125,32,
1,6,cpu,3.1,3.8,,,,4,4,Intel HD Graphics 4600,Intel,,,,Haswell,Intel Core i5 4670S 3.1 GHz 4-Core LGA1150,53bba6ac-3ef1-4f1d-8079-9ccbedd463ef,cpu_0262,,Intel Core i5,LGA 1150,65,4,
20,24,cpu,3.5,5.3,2.6,4,,,14,None,Intel,,,"DDR5, DDR4",Raptor Lake Refresh,Intel Core i5 14600KF 3.5 GHz 14-Core LGA1700,54157058-0ff5-4208-9466-5ce1e985ca7a,cpu_0263,,Intel Core i5,LGA 1700,125,20,
12,16,cpu,2.6,3.2,,,,12,12,None,AMD,,,,Piledriver,AMD Opteron 6344 2.6 GHz 12-Core G34,541df888-fb1f-4aae-854a-ba78665e4e68,cpu_0264,,AMD Opteron,G34,115,12,
16,22,cpu,2.8,4.4,,,,16,16,None,Intel,,,,Skylake,Intel Core i9 7960X 2.8 GHz 16-Core LGA2066,558f9e14-2ddd-4b02-8653-01011ef4cfe8,cpu_0265,,Intel Core i9,LGA 2066,165,32,
2,4,cpu,3.8,4,,,,4,4,None,AMD,,,DDR4,Zen 2,AMD Ryzen 3 4100 3.8 GHz 4-Core AM4,561fd78d-c0ca-4619-a942-92eacf4bfccf,cpu_0266,,AMD Ryzen 3,AM4,65,8,
1,8,cpu,2.5,3.7,,,,4,4,Intel HD Graphics,Intel,,,,Haswell,Intel Xeon E3 1265L V3 2.5 GHz 4-Core LGA1150 OEM/Tray,564c5e22-6f75-415c-ba9b-da1aef354435,cpu_0267,,Intel Xeon E3,LGA 1150,45,8,
2,12,cpu,3,4.7,,,,8,8,Intel HD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i7 9700 3.0 GHz 8-Core LGA1151,56d6e30f-ad21-4435-a1e6-9cc613083c37,cpu_0268,,Intel Core i7,LGA 1151,65,8,
1,8,cpu,3.5,3.9,,,,4,4,Intel HD Graphics 4600,Intel,,,,Haswell,Intel Core i7 4770K 3.5 GHz 4-Core LGA1150,571a3898-fab2-4596-83fc-c37d0c7257de,cpu_0269,,Intel Core i7,LGA 1150,84,8,
3,32,cpu,3.5,4.5,,,,6,6,None,AMD,,,DDR4,Zen 3,AMD Ryzen 5 5600T 3.5 GHz 6-Core AM4 OEM/Tray,576892a0-c32b-4fc1-b85a-d09ae7c77824,cpu_0270,,AMD Ryzen 5,AM4,65,12,
8,8,cpu,3.2,4,,,,8,8,None,AMD,,,,Piledriver,AMD FX 8 8320E 3.2 GHz 8-Core AM3+ OEM/Tray,58042e92-814b-4b53-879a-4a3d6bae7ab4,cpu_0271,,AMD FX,AM3+,95,8,
1,8,cpu,2.8,3.6,,,,4,4,Intel HD Graphics 530,Intel,,,,Skylake,Intel Core i7 6700T 2.8 GHz 4-Core LGA1151 OEM/Tray,58e5d3a4-0c33-497b-88ff-0ce7713337f5,cpu_0272,,Intel Core i7,LGA 1151,35,8,
5,15,cpu,2.5,3,,,,6,6,None,Intel,,,,Sandy Bridge,Intel Xeon E5 2640 2.5 GHz 6-Core LGA2011,590f3a23-2873-41b2-95c2-1683c6436a2e,cpu_0273,,Intel Xeon E5,LGA 2011,95,12,
2,20,cpu,3.1,3.8,,,,8,8,None,Intel,,,,Sandy Bridge,Intel Xeon E5 2687W 3.1 GHz 8-Core LGA2011 OEM/Tray,596e5785-093c-4908-9a08-b34b24c20ab1,cpu_0274,,Intel Xeon E5,LGA 2011,150,16,
3,30,cpu,1.8,2.5,,,,12,12,None,Intel,,,,Haswell,Intel Xeon E5 2650L V3 1.8 GHz 12-Core LGA2011-3 OEM/Tray,59f2b040-a1c1-4f45-b22d-07b2e2d129f1,cpu_0275,,Intel Xeon E5,LGA 2011-3,65,24,
16,22,cpu,3.1,4.4,,,,16,16,None,Intel,,,,Skylake,Intel Core i9 9960X 3.1 GHz 16-Core LGA2066,5a121bc6-68bf-4644-9f94-93acb8c4df51,cpu_0276,,Intel Core i9,LGA 2066,165,32,
14,30,cpu,2.4,5.1,1.8,3.8,,,16,None,Intel,,,"DDR5, DDR4",Alder Lake,Intel Core i9 12900F 2.4 GHz 16-Core LGA1700,5a49ac5d-8247-4822-b065-5cfa926fbcb0,cpu_0277,,Intel Core i9,LGA 1700,65,24,
1,8,cpu,3,3.5,,,,4,4,None,Intel,,,,Kaby Lake,Intel Xeon E3 E3-1220 V6 OEM/Tray 3 GHz 4-Core LGA1151,5a83927b-568f-4a4f-bb09-be8a06899ef6,cpu_0278,,Intel Xeon E3,LGA 1151,72,4,
1,0,cpu,3.5,3.9,,,,2,2,None,AMD,,,,Piledriver,AMD Athlon X2 350 3.5 GHz 2-Core FM2 OEM/Tray,5a83dd91-ac5a-4c36-a516-4c9a61e41189,cpu_0279,,AMD Athlon X2,FM2,65,2,
3,30,cpu,2.5,3.3,,,,12,12,None,Intel,,,,Haswell,Intel Xeon E5 2680 V3 2.5 GHz 12-Core LGA2011-3 OEM/Tray,5b36b052-1da1-4e1d-aeba-16e5bd89a309,cpu_0280,,Intel Xeon E5,LGA 2011-3,120,24,
6,16,cpu,4.1,5,3.3,3.7,4,2,6,AMD Radeon 740M,AMD,2,,DDR5,"2x Zen 4 , 4x Zen 4c",AMD Ryzen 5 8500G 4.1 GHz 6-Core AM5,5b3f1331-be66-43b0-b094-ac032d946b0c,cpu_0281,2024,AMD Ryzen 5 8000,AM5,,12,8500G
4,0,cpu,3.3,3.7,,,,4,4,AMD Radeon R7 (on-die),AMD,,,,Steamroller,AMD A8 A8-7650K 3.3 GHz 4-Core FM2+,5b57282e-8150-4f6c-bebc-c7282e5c61a1,cpu_0282,,AMD A8,FM2+,95,4,
4,0,cpu,3.3,3.7,,,,4,4,AMD Radeon R7 (on-die),AMD,,,,Steamroller,AMD A 8 A8-7650K 3.3 GHz 4-Core FM2+,5c9ce771-76dc-4c06-8b86-c32d90be9b46,cpu_0283,,AMD A8,FM2+,95,4,
,16,cpu,2.5,4.9,,,0,8,8,Intel UHD Graphics 750,,2,,DDR4,Rocket Lake,Intel Core i7-11700,5cb67090-1414-4608-b202-f2ceccb99d3a,cpu_0284,2021,,LGA 1200,65,16,
1,0,cpu,4,4.2,,,,2,2,AMD Radeon HD 8000 Series,AMD,,,,Piledriver,AMD A-Series A6-6420K 4 GHz 2-Core FM2,5cc1e75e-eac7-4622-a6fb-47ed681c5f4d,cpu_0285,,AMD A6,FM2,65,2,
2,20,cpu,2.6,3.4,,,,8,8,None,Intel,,,,Haswell,Intel Xeon E5 2640 V3 2.6 GHz 8-Core LGA2011-3,5cdc16ba-b3b6-40cc-bc31-853be0ed656d,cpu_0286,,Intel Xeon E5,LGA 2011-3,90,16,
5,15,cpu,3.4,3.6,,,,6,6,None,Intel,,,,Broadwell,Intel Core i7 6800K 3.4 GHz 6-Core LGA2011-3,5d09089e-4e1d-4498-9b3f-e4f67f752aa7,cpu_0287,,Intel Core i7,LGA 2011-3,140,12,
6,32,cpu,3.5,4,,,,12,12,None,AMD,,,,Zen,AMD Threadripper Threadripper 1920X 3.5 GHz 12-Core sTR4,5ddb1d54-bfdc-4a6b-9142-771d85707856,cpu_0288,,AMD Threadripper,TR4,180,24,
1,8,cpu,3.7,4.3,,,,4,4,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i3 9300 3.7 GHz 4-Core LGA1151,5e2a8f98-9fe3-43d6-a48f-0512722287b1,cpu_0289,,Intel Core i3,LGA 1151,62,4,
1,6,cpu,2.7,3.3,,,,4,4,Intel HD Graphics 630,Intel,,,,Kaby Lake,Intel Core i5 7500T 2.7 GHz 4-Core LGA1151,5e4498ad-3d4d-4ce7-b5f2-65c25d2a7cde,cpu_0290,,Intel Core i5,LGA 1151,35,4,
1,8,cpu,3.7,4.3,,,,4,4,Intel UHD Graphics 630,Intel,,,,Coffee Lake Refresh,Intel Core i3 9300 3.7 GHz 4-Core LGA1151 OEM/Tray,5eb15d84-bd3a-48cb-a576-aebc04fdce7b,cpu_0291,,Intel Core i3,LGA 1151,62,4,
5,12,cpu,3.5,4.5,,,,6,6,Intel HD Graphics P630,Intel,,,,Coffee Lake,Intel Xeon E 2146G 3.5 GHz 6-Core LGA1151 OEM/Tray,5f51e9c7-0333-4052-94cf-29c3b5cc26db,cpu_0292,,Intel Xeon E,LGA 1151,80,12,
5,20,cpu,3.7,5.3,,,,10,10,Intel UHD Graphics 630,Intel,,,,Comet Lake,Intel Core i9 10900K 3.7 GHz 10-Core LGA1200,5fbb1479-6d3e-41bb-8007-da5f747249f5,cpu_0293,,Intel Core i9,LGA 1200,125,20,
5,9,cpu,2.3,3.7,,,,6,6,Intel UHD Graphics 630,Intel,,,,Coffee Lake,Intel Core i5 8600T 2.3 GHz 6-Core LGA1151 OEM/Tray,5ffd311e-c8f8-4bc5-83bc-bfffe5959645,cpu_0294,,Intel Core i5,LGA 1151,35,6,
5,25,cpu,2.4,3.4,,,,10,10,None,Intel,,,,Broadwell,Intel Xeon E5 2640 V4 2.4 GHz 10-Core LGA2011-3,6015ca67-7422-475b-81be-b143aba0d9f4,cpu_0295,,Intel Xeon E5,LGA 2011-3,90,20,
5,12,cpu,3.5,4.7,,,,4,4,Intel UHD Graphics 730,Intel,,,"DDR5, DDR4",Raptor Lake Refresh,Intel Core i3 14100 3.5 GHz 4-Core LGA1700,6030a0b4-dc81-4bd6-bc2c-819e643f3a7d,cpu_0296,,Intel Core i3,LGA 1700,60,8,
2,20,cpu,3.2,3.7,,,,8,8,None,Intel,,,,Broadwell,Intel Core i7 6900K 3.2 GHz 8-Core LGA2011-3,60790f0f-eeb6-4705-91b3-2cb9edaa0340,cpu_0297,,Intel Core i7,LGA 2011-3,140,16,
24,128,cpu,4.2,5.4,,,,,24,None,AMD,4,,DDR5,Zen 5,AMD Ryzen Threadripper 9960X,609f5722-7ed9-4e97-b65e-34b6af535107,cpu_0298,2025, Ryzen Threadripper 9000 Series,sTR5,350,48,9960X
8,32,cpu,4.5,5.4,,,,,8,AMD Radeon Graphics,AMD,2,,DDR5,Zen 4,AMD Ryzen 7 7700X 4.5 GHz 8-Core AM5,60a8ba0d-d6a5-4e84-89df-a5ca2a8915c9,cpu_0299,2022,AMD Ryzen 7 7000,AM5,105,16,7700X
2,0,cpu,3.8,4,,,,4,4,None,AMD,,,DDR4,Excavator,AMD Athlon X4 970 3.8 GHz 4-Core AM4,60e91901-71e2-42f8-a245-f3a1be627151,cpu_0300,,AMD Athlon X4,AM4,65,4,
20,24,cpu,3.5,5.3,2.6,4,,,14,Intel UHD Graphics 770,Intel,,,"DDR5, DDR4",Raptor Lake Refresh,Intel Core i5 14600K 3.5 GHz 14-Core LGA1700,61524df0-3c26-49c3-b7db-b056ad3d3028,cpu_0301,,Intel Core i5,LGA 1700,125,20,
12,32,cpu,3.7,5.4,,,,12,12,AMD Radeon,AMD,,,DDR5,Zen 4,AMD EPYC 4464P 3.7 GHz 12-Core AM5,616b97e2-782a-4a0c-80cf-f8b56a9cf18b,cpu_0302,,AMD EPYC,AM5,65,24,
4,0,cpu,3.6,3.9,,,,4,4,AMD Radeon R7 (on-die),AMD,,,,Steamroller,AMD A8 7670K 3.6 GHz 4-Core FM2+,618ecc4c-b808-4c02-ac5f-ed5d338af257,cpu_0303,,AMD A8,FM2+,95,4,
1024,22,cpu,3.1,4.5,,,0,16,16,None,,4,,DDR4,Skylake-X,Intel Core i9-9960X,61ccec51-9636-400c-b879-2ac9dcea439f,cpu_0304,2018,,LGA 2066,165,32,
2,0,cpu,3.5,3.8,,,,4,4,AMD Radeon R7 (on-die),AMD,,,,Puma+,AMD A 8 A8-7680 3.5 GHz 4-Core FM2+,622de591-d901-4b0f-b6bf-7b4ffe185bfc,cpu_0305,,AMD A8,FM2+,65,4,
28,33,cpu,3.4,5.5,2.5,4.3,12,8,20,Intel UHD 770,Intel,2,,"DDR5, DDR4",Raptor Lake Refresh,Intel Core i7 14700K 3.4 GHz 20-Core LGA1700,622e7110-ebf4-4040-93f6-5b37e82ff02e,cpu_0306,2023,Intel Core i7 14000,LGA 1700,125,28,14700K
